location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Denmark,2021-01-15,80,,12.31,0.05,0.0
Denmark,2021-01-22,15,17,0.01,0.0,0.0
Denmark,2021-01-22,18,24,0.69,0.1,0.0
Denmark,2021-01-22,25,49,2.75,0.39,0.0
Denmark,2021-01-22,50,59,3.74,0.57,0.0
Denmark,2021-01-22,60,69,4.02,0.59,0.0
Denmark,2021-01-22,70,79,3.29,0.48,0.0
Denmark,2021-01-22,80,,13.33,2.34,0.0
Denmark,2021-01-29,15,17,0.01,0.0,0.0
Denmark,2021-01-29,18,24,0.73,0.33,0.0
Denmark,2021-01-29,25,49,2.82,1.31,0.0
Denmark,2021-01-29,50,59,3.85,1.98,0.0
Denmark,2021-01-29,60,69,4.13,2.02,0.0
Denmark,2021-01-29,70,79,3.38,1.34,0.0
Denmark,2021-01-29,80,,13.52,6.47,0.0
Denmark,2021-02-05,15,17,0.01,0.01,0.0
Denmark,2021-02-05,18,24,0.76,0.51,0.0
Denmark,2021-02-05,25,49,2.9,2.06,0.0
Denmark,2021-02-05,50,59,3.95,2.97,0.0
Denmark,2021-02-05,60,69,4.26,3.2,0.0
Denmark,2021-02-05,70,79,3.61,2.51,0.0
